name_of_the_product;main_category;sub_category;ratings;no_of_ratings;discounted_price;actual_price
Lego City Fire Station;Building Sets;City;4.8;13400;99.99;129.99
Lego Ninjago City Gardens;Building Sets;Ninjago;4.9;14200;299.99;349.99
Lego Disney Frozen II Arendelle Castle Village;Building Sets;Disney;4.7;13100;79.99;99.99
Lego Ideas International Space Station;Building Sets;Ideas;4.6;12700;69.99;79.99
Lego Architecture Trafalgar Square;Building Sets;Architecture;4.7;12600;79.99;99.99
Lego Creator Expert Volkswagen T1 Camper Van;Building Sets;Creator Expert;4.8;13700;119.99;139.99
Lego Star Wars The Razor Crest;Building Sets;Star Wars;4.9;14800;499.99;599.99
Lego Marvel Infinity Gauntlet;Building Sets;Marvel;4.8;13900;69.99;79.99
Amazon Echo Dot (4th Gen);Smart Home;Smart Speakers;4.8;15000;49.99;59.99
Google Nest Mini;Smart Home;Smart Speakers;4.7;14500;49.99;59.99
Amazon Echo Show 8;Smart Home;Smart Displays;4.6;14000;99.99;129.99
Google Nest Hub;Smart Home;Smart Displays;4.7;13500;89.99;109.99
Philips Hue White and Color Ambiance Starter Kit;Smart Home;Smart Lighting;4.8;14800;179.99;199.99
Ring Video Doorbell 3;Smart Home;Smart Doorbell;4.7;13900;179.99;199.99
Arlo Pro 4 Spotlight Camera;Smart Home;Security Cameras;4.6;13400;199.99;249.99
Nest Learning Thermostat;Smart Home;Smart Thermostats;4.8;15200;249.99;299.99
Samsung Galaxy Tab S7;Tablets;Android Tablets;4.7;12000;549.99;649.99
Lenovo Tab P11 Pro;Tablets;Android Tablets;4.6;11500;449.99;549.99
Microsoft Surface Pro 7;Tablets;Windows Tablets;4.8;13000;799.99;899.99
Apple iPad Air;Tablets;iOS Tablets;4.9;14000;549.99;599.99
Dyson Cyclone V10;Vacuums;Cordless Vacuums;4.8;12500;499.99;599.99
Shark Navigator Lift-Away;Vacuums;Upright Vacuums;4.7;12000;179.99;229.99
Miele Complete C3;Vacuums;Canister Vacuums;4.6;11500;699.99;799.99
Dyson Ball Animal 2;Vacuums;Upright Vacuums;4.8;13000;399.99;499.99
iRobot Roomba i7+;Vacuums;Robot Vacuums;4.7;12500;799.99;999.99
Bissell CrossWave;Vacuums;Wet/Dry Vacuums;4.6;12000;249.99;299.99
Hoover WindTunnel 2;Vacuums;Upright Vacuums;4.7;11500;149.99;199.99
Eureka Mighty Mite;Vacuums;Canister Vacuums;4.8;13000;69.99;89.99
Black+Decker Dustbuster;Vacuums;Handheld Vacuums;4.7;12500;39.99;49.99
Dyson V8 Absolute;Vacuums;Cordless Vacuums;4.8;13500;349.99;449.99
Shark ION F80;Vacuums;Cordless Vacuums;4.7;12800;249.99;349.99
Bissell PowerFresh;Vacuums;Steam Mops;4.6;12200;89.99;119.99
Hoover Power Scrub;Vacuums;Carpet Cleaners;4.8;13200;149.99;199.99
Bissell SpotClean;Vacuums;Portable Cleaners;4.7;12700;119.99;149.99
Shark Rotator Professional;Vacuums;Upright Vacuums;4.6;12400;249.99;349.99
Broadway Show Tickets: Hamilton;Cultural Outings;Theater;4.9;15000;199.99;249.99
Opera Tickets: La Traviata;Cultural Outings;Opera;4.8;14500;149.99;199.99
Ballet Tickets: Swan Lake;Cultural Outings;Ballet;4.7;14000;129.99;179.99
Symphony Tickets: Beethoven's 9th;Cultural Outings;Symphony;4.8;14800;99.99;149.99
Museum Pass: The Met;Cultural Outings;Museums;4.7;13500;24.99;29.99
Art Gallery Tour: MoMA;Cultural Outings;Art Galleries;4.6;13000;29.99;39.99
Comedy Show Tickets: SNL;Cultural Outings;Comedy Shows;4.9;15500;79.99;99.99
Jazz Concert Tickets: Blue Note;Cultural Outings;Jazz Concerts;4.8;14200;59.99;79.99
Wine Tasting Tour: Napa Valley;Group Outings;Wine Tasting;4.7;13800;149.99;199.99
Cooking Class: Italian Cuisine;Group Outings;Cooking Classes;4.6;13200;89.99;119.99
Escape Room: The Heist;Group Outings;Escape Rooms;4.9;15200;29.99;39.99
Paint and Sip Night;Group Outings;Art Classes;4.8;14700;39.99;49.99
Hot Air Balloon Ride;Group Outings;Adventure Activities;4.7;13900;199.99;249.99
Kayaking Tour: Hudson River;Group Outings;Water Sports;4.6;13400;49.99;69.99
Hiking Tour: Grand Canyon;Group Outings;Hiking Tours;4.8;14900;79.99;99.99
Spa Day Package;Birthday Gifts;Spa Packages;4.9;15100;149.99;199.99
Personalized Jewelry: Necklace;Birthday Gifts;Jewelry;4.8;14600;79.99;99.99
Gourmet Chocolate Box;Birthday Gifts;Gourmet Food;4.7;14100;29.99;39.99
Custom Portrait;Birthday Gifts;Artwork;4.9;15300;99.99;149.99
Luxury Watch;Birthday Gifts;Watches;4.8;14800;249.99;299.99
Designer Handbag;Birthday Gifts;Handbags;4.7;14300;199.99;249.99
High-End Perfume;Birthday Gifts;Fragrances;4.6;13700;79.99;99.99
Custom Star Map;Birthday Gifts;Personalized Gifts;4.9;15400;39.99;49.99
Experience Gift: Hot Air Balloon Ride;Birthday Gifts;Experience Gifts;4.8;14900;199.99;249.99
Subscription Box: Beauty;Birthday Gifts;Subscription Boxes;4.7;14400;29.99;39.99
Fitness Tracker: Fitbit Charge 5;Birthday Gifts;Fitness Gadgets;4.6;13900;129.99;149.99
Custom Illustration;Birthday Gifts;Artwork;4.8;14700;69.99;89.99
Luxury Robe;Birthday Gifts;Loungewear;4.9;15200;79.99;99.99
Gourmet Coffee Set;Birthday Gifts;Gourmet Food;4.7;14500;49.99;59.99
Personalized Photo Album;Birthday Gifts;Personalized Gifts;4.6;14000;39.99;49.99
Wedding Planner Service;Wedding Gifts;Planning Services;4.9;15000;499.99;599.99
Custom Wedding Invitations;Wedding Gifts;Stationery;4.8;14500;199.99;249.99
Luxury Bedding Set;Wedding Gifts;Home Decor;4.7;14000;249.99;299.99
High-End Kitchen Appliances;Wedding Gifts;Kitchen Appliances;4.9;15200;399.99;499.99
Personalized Wedding Gifts;Wedding Gifts;Personalized Gifts;4.8;14700;79.99;99.99
Honeymoon Travel Package;Wedding Gifts;Travel Packages;4.7;14200;999.99;1299.99
Custom Wedding Jewelry;Wedding Gifts;Jewelry;4.6;13700;149.99;199.99
Luxury Bath Towels;Wedding Gifts;Home Decor;4.9;15300;99.99;149.99
Gourmet Food Basket;Wedding Gifts;Gourmet Food;4.8;14800;79.99;99.99
Personalized Wedding Album;Wedding Gifts;Personalized Gifts;4.7;14300;129.99;179.99
Wedding Keepsake Box;Wedding Gifts;Keepsakes;4.6;13800;49.99;69.99
Custom Wedding Portrait;Wedding Gifts;Artwork;4.9;15400;199.99;249.99
Luxury Candle Set;Wedding Gifts;Home Decor;4.8;14900;49.99;69.99
Personalized Wedding Vows Book;Wedding Gifts;Stationery;4.7;14400;39.99;49.99
High-End Wine Set;Wedding Gifts;Gourmet Food;4.6;13900;99.99;129.99
Custom Wedding Guest Book;Wedding Gifts;Stationery;4.8;14600;59.99;79.99
Luxury Spa Gift Set;Anniversary Gifts;Spa Gifts;4.9;15100;79.99;99.99
Personalized Anniversary Jewelry;Anniversary Gifts;Jewelry;4.8;14600;149.99;199.99
Gourmet Chocolate and Wine Basket;Anniversary Gifts;Gourmet Food;4.7;14100;69.99;89.99
Custom Anniversary Portrait;Anniversary Gifts;Artwork;4.9;15300;129.99;179.99
Luxury Watch for Him;Anniversary Gifts;Watches;4.8;14800;299.99;349.99
Designer Handbag for Her;Anniversary Gifts;Handbags;4.7;14300;249.99;299.99
High-End Perfume Set;Anniversary Gifts;Fragrances;4.6;13700;149.99;199.99
Custom Star Map of Wedding Date;Anniversary Gifts;Personalized Gifts;4.9;15400;49.99;69.99
Experience Gift: Couple's Massage;Anniversary Gifts;Experience Gifts;4.8;14900;149.99;199.99
Subscription Box: Date Night;Anniversary Gifts;Subscription Boxes;4.7;14400;39.99;49.99
Fitness Tracker for Couples;Anniversary Gifts;Fitness Gadgets;4.6;13900;199.99;249.99
Custom Illustration of Wedding Photo;Anniversary Gifts;Artwork;4.8;14700;99.99;149.99
Luxury Robes for Couples;Anniversary Gifts;Loungewear;4.9;15200;149.99;199.99
Gourmet Coffee and Tea Set;Anniversary Gifts;Gourmet Food;4.7;14500;59.99;79.99
Personalized Photo Album of Memories;Anniversary Gifts;Personalized Gifts;4.6;14000;49.99;69.99
Broadway Show Tickets: The Lion King;Cultural Outings;Theater;4.9;15000;179.99;229.99
Opera Tickets: Carmen;Cultural Outings;Opera;4.8;14500;129.99;179.99
Ballet Tickets: The Nutcracker;Cultural Outings;Ballet;4.7;14000;109.99;159.99
Symphony Tickets: Mozart's Requiem;Cultural Outings;Symphony;4.8;14800;89.99;139.99
Museum Pass: Louvre;Cultural Outings;Museums;4.7;13500;19.99;24.99
Art Gallery Tour: Tate Modern;Cultural Outings;Art Galleries;4.6;13000;24.99;29.99
Comedy Show Tickets: The Daily Show;Cultural Outings;Comedy Shows;4.9;15500;69.99;89.99
Jazz Concert Tickets: Jazz at Lincoln Center;Cultural Outings;Jazz Concerts;4.8;14200;49.99;69.99
Wine Tasting Tour: Bordeaux;Group Outings;Wine Tasting;4.7;13800;129.99;179.99
Cooking Class: French Cuisine;Group Outings;Cooking Classes;4.6;13200;79.99;109.99
Escape Room: The Prison Break;Group Outings;Escape Rooms;4.9;15200;24.99;34.99
Paint and Sip Night: Landscapes;Group Outings;Art Classes;4.8;14700;34.99;44.99
Hot Air Balloon Ride: Cappadocia;Group Outings;Adventure Activities;4.7;13900;179.99;229.99
Kayaking Tour: Colorado River;Group Outings;Water Sports;4.6;13400;39.99;59.99
Hiking Tour: Yosemite National Park;Group Outings;Hiking Tours;4.8;14900;69.99;89.99
Spa Day Package: Couple's Retreat;Birthday Gifts;Spa Packages;4.9;15100;249.99;299.99
Personalized Jewelry: Bracelet;Birthday Gifts;Jewelry;4.8;14600;69.99;89.99
Gourmet Cheese Board;Birthday Gifts;Gourmet Food;4.7;14100;24.99;34.99
Custom Caricature;Birthday Gifts;Artwork;4.9;15300;89.99;139.99
Luxury Sunglasses;Birthday Gifts;Accessories;4.8;14800;149.99;199.99
Designer Wallet;Birthday Gifts;Accessories;4.7;14300;99.99;129.99
High-End Cologne;Birthday Gifts;Fragrances;4.6;13700;69.99;89.99
Custom Birthstone Necklace;Birthday Gifts;Personalized Gifts;4.9;15400;49.99;69.99
Experience Gift: Cooking Class;Birthday Gifts;Experience Gifts;4.8;14900;79.99;99.99
Subscription Box: Snacks;Birthday Gifts;Subscription Boxes;4.7;14400;24.99;34.99
Fitness Tracker: Garmin Vivosmart 4;Birthday Gifts;Fitness Gadgets;4.6;13900;99.99;129.99
Custom Pet Portrait;Birthday Gifts;Artwork;4.8;14700;59.99;79.99
Luxury Pajama Set;Birthday Gifts;Loungewear;4.9;15200;69.99;89.99
Gourmet Tea Set;Birthday Gifts;Gourmet Food;4.7;14500;39.99;49.99
Personalized Birthday Cake Topper;Birthday Gifts;Personalized Gifts;4.6;14000;19.99;29.99
Wedding Planner Service: Destination Wedding;Wedding Gifts;Planning Services;4.9;15000;799.99;999.99
Custom Wedding Invitations: Foil Pressed;Wedding Gifts;Stationery;4.8;14500;249.99;299.99
Luxury Bedding Set: Egyptian Cotton;Wedding Gifts;Home Decor;4.7;14000;299.99;349.99
High-End Kitchen Appliances: Espresso Machine;Wedding Gifts;Kitchen Appliances;4.9;15200;499.99;599.99
Personalized Wedding Gifts: Engraved Compact Mirror;Wedding Gifts;Personalized Gifts;4.8;14700;29.99;39.99
Honeymoon Travel Package: Bora Bora;Wedding Gifts;Travel Packages;4.7;14200;1499.99;1799.99
Custom Wedding Jewelry: Engraved Cufflinks;Wedding Gifts;Jewelry;4.6;13700;99.99;129.99
Luxury Bath Towels: Turkish Cotton;Wedding Gifts;Home Decor;4.9;15300;129.99;179.99
Gourmet Food Basket: Italian Delights;Wedding Gifts;Gourmet Food;4.8;14800;99.99;129.99
Personalized Wedding Album: Leather Bound;Wedding Gifts;Personalized Gifts;4.7;14300;179.99;229.99
Wedding Keepsake Box: Personalized;Wedding Gifts;Keepsakes;4.6;13800;59.99;79.99
Custom Wedding Portrait: Watercolor;Wedding Gifts;Artwork;4.9;15400;179.99;229.99
Luxury Candle Set: Scented;Wedding Gifts;Home Decor;4.8;14900;59.99;79.99
Personalized Wedding Vows Book: Leather;Wedding Gifts;Stationery;4.7;14400;49.99;69.99
High-End Wine Set: Red and White;Wedding Gifts;Gourmet Food;4.6;13900;129.99;179.99
Custom Wedding Guest Book: Engraved;Wedding Gifts;Stationery;4.8;14600;69.99;89.99
Luxury Spa Gift Set: For Couples;Anniversary Gifts;Spa Gifts;4.9;15100;99.99;129.99
Personalized Anniversary Jewelry: Engraved Ring;Anniversary Gifts;Jewelry;4.8;14600;199.99;249.99
Gourmet Chocolate and Wine Basket: Anniversary Edition;Anniversary Gifts;Gourmet Food;4.7;14100;79.99;99.99
Custom Anniversary Portrait: Digital Art;Anniversary Gifts;Artwork;4.9;15300;149.99;199.99
Luxury Watch for Him: Chronograph;Anniversary Gifts;Watches;4.8;14800;349.99;399.99
Designer Handbag for Her: Leather;Anniversary Gifts;Handbags;4.7;14300;299.99;349.99
High-End Perfume Set: Designer;Anniversary Gifts;Fragrances;4.6;13700;179.99;229.99
Custom Star Map of Anniversary Date;Anniversary Gifts;Personalized Gifts;4.9;15400;59.99;79.99
Experience Gift: Hot Air Balloon Ride for Two;Anniversary Gifts;Experience Gifts;4.8;14900;249.99;299.99
Subscription Box: Wine Club;Anniversary Gifts;Subscription Boxes;4.7;14400;49.99;59.99
Fitness Tracker for Couples: Apple Watch;Anniversary Gifts;Fitness Gadgets;4.6;13900;299.99;349.99
Custom Illustration of Anniversary Photo;Anniversary Gifts;Artwork;4.8;14700;129.99;179.99
Luxury Robes for Couples: Silk;Anniversary Gifts;Loungewear;4.9;15200;179.99;229.99
Gourmet Coffee and Tea Set: Anniversary Blend;Anniversary Gifts;Gourmet Food;4.7;14500;69.99;89.99
Personalized Photo Album of Anniversary Memories;Anniversary Gifts;Personalized Gifts;4.6;14000;59.99;79.99
